"book_title","book_url","book_score","book_review_amount","book_info"
"围城","https://book.douban.com/subject/11524204/","9.3","(55139人评价)","钱钟书 / 人民文学出版社 / 1991-2-1 / 39.00元"
"白夜行","https://book.douban.com/subject/3259440/","9.1","(464012人评价)","[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2008-9 / 29.80元"
"牧羊少年奇幻之旅","https://book.douban.com/subject/3608208/","8.5","(123982人评价)","[巴西] 保罗·柯艾略 / 丁文林 / 南海出版公司 / 2009-3-1 / 25.00元"
"生吞","https://book.douban.com/subject/27170951/","8.1","(18745人评价)","郑执 / 浙江文艺出版社 / 2017-11-1 / 39.00"
"正常人","https://book.douban.com/subject/35081921/","8.4","(1825人评价)","[爱尔兰] 萨莉·鲁尼 / 钟娜 / 上海译文出版社 / 2020-7 / 49.8"
"银河系边缘的小失常","https://book.douban.com/subject/35005062/","8.2","(2824人评价)","[以色列] 埃特加·凯雷特 / 方铁 / 浦睿文化·湖南文艺出版社 / 2020-5 / 49.00元"
"回归故里","https://book.douban.com/subject/34942789/","9.2","(1144人评价)","[法] 迪迪埃·埃里蓬、Didier Eribon / 王献 / 后浪丨上海文化出版社 / 2020-7 / 48.00元"
"诡计博物馆","https://book.douban.com/subject/35016085/","7.7","(2755人评价)","[日] 大山诚一郎 / 吕平 / 上海文艺出版社 / 2020-6 / 39.90元"
"城南旧事 : 纪念普及版","https://book.douban.com/subject/1254588/","9.0","(105595人评价)","林海音 文、关维兴 图 / 中国青年出版社 / 2003-7 / 16.00元"
"挪威的森林","https://book.douban.com/subject/2159042/","8.5","(105590人评价)","[日] 村上春树 / 林少华 / 上海译文出版社 / 2007-7 / 23.00元"
"鼠疫","https://book.douban.com/subject/24257229/","9.1","(25751人评价)","(法)阿尔贝·加缪 / 刘方 / 上海译文出版社 / 2013-8 / 34.00元"
"平凡的世界","https://book.douban.com/subject/10517238/","9.0","(44492人评价)","路遥 / 北京出版集团公司,北京十月文艺出版社 / 2012-3-1 / CNY 79.80"
"恶意","https://book.douban.com/subject/3646172/","8.4","(200232人评价)","[日] 东野圭吾 / 娄美莲 / 南海出版公司 / 2009-6 / 18.00"
"老人与海","https://book.douban.com/subject/1064275/","8.4","(159050人评价)","海明威 / 吴劳 / 上海译文出版社 / 1999-10 / 8.20元"
"无声告白","https://book.douban.com/subject/26382433/","8.2","(118122人评价)","[美] 伍绮诗 / 孙璐 / 江苏凤凰文艺出版社 / 2015-7 / 35.00元"
"基督山伯爵","https://book.douban.com/subject/1085860/","9.0","(103376人评价)","大仲马 / 周克希、韩沪麟 / 上海译文出版社 / 1991-12-1 / 43.90元"
"肖申克的救赎","https://book.douban.com/subject/1829226/","9.1","(88377人评价)","[美] 斯蒂芬·金 / 施寄青、赵永芬、齐若兰 / 人民文学出版社 / 2006-7 / 29.90元"
"岛上书店","https://book.douban.com/subject/26340138/","7.6","(122755人评价)","[美] 加布瑞埃拉·泽文 / 孙仲旭、李玉瑶 / 江苏凤凰文艺出版社 / 2015-5-1 / CNY 35.00"
"窗边的小豆豆","https://book.douban.com/subject/1007914/","8.7","(163155人评价)","[日] 黑柳彻子 著、岩崎千弘 图 / 赵玉皎 / 南海出版公司 / 2003-1 / 20.00元"
"树上的男爵","https://book.douban.com/subject/6789605/","9.1","(24976人评价)","[意] 伊塔洛·卡尔维诺 / 吴正仪 / 译林出版社 / 2012-4-1 / 30.00元"
"简爱（英文全本）","https://book.douban.com/subject/1141406/","8.5","(189105人评价)","[英] 夏洛蒂·勃朗特 / 世界图书出版公司 / 2003-11 / 18.00元"
"东方快车谋杀案","https://book.douban.com/subject/1827374/","9.0","(100415人评价)","[英] 阿加莎·克里斯蒂 / 陈尧光 / 人民文学出版社 / 2006-5 / 18.00元"
"呼吸","https://book.douban.com/subject/34672176/","8.6","(15869人评价)","[美] 特德·姜 / 耿辉、Ent、李克勤、姚向辉 / 译林出版社 / 2019-12 / 42"
"鞋带","https://book.douban.com/subject/34970385/","8.1","(3532人评价)","[意] 多梅尼科·斯塔尔诺内 / 陈英 / 上海译文出版社 / 2020-5 / 45"
"盗墓笔记","https://book.douban.com/subject/6953273/","8.5","(29170人评价)","南派三叔 / 上海文化出版社 / 2011-9 / 295.20"
"一个陌生女人的来信","https://book.douban.com/subject/2154960/","8.7","(109937人评价)","[奥] 斯台芬·茨威格 / 张玉书 / 上海译文出版社 / 2007-7 / 20.00元"
"我的天才女友 : 那不勒斯四部曲-01","https://book.douban.com/subject/26878124/","8.5","(60977人评价)","[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-1 / 42.00元"
"黄金时代 : 时代三部曲","https://book.douban.com/subject/1089243/","8.9","(127323人评价)","王小波 / 花城出版社 / 1999-3 / 19.00元"
"19年间谋杀小叙","https://book.douban.com/subject/30237176/","8.2","(11323人评价)","那多 / 人民文学出版社 / 2018-7 / 59.00元"
"美丽新世界","https://book.douban.com/subject/27002046/","9.1","(12438人评价)","[英] 赫胥黎 / 陈超 / 上海译文出版社 / 2017-6 / 45.00元"
"无人生还","https://book.douban.com/subject/3006581/","8.9","(102879人评价)","[英] 阿加莎・克里斯蒂 / 祁阿红 / 人民文学出版社 / 2008-3 / 19.00"
"恶意","https://book.douban.com/subject/26877752/","8.7","(39223人评价)","[日] 东野圭吾 / 娄美莲 / 南海出版公司 / 2016-11-1 / 39.50元"
"三体Ⅱ : 黑暗森林","https://book.douban.com/subject/3066477/","9.3","(225856人评价)","刘慈欣 / 重庆出版社 / 2008-5 / 32.00"
"克莱因壶","https://book.douban.com/subject/33658616/","8.8","(8946人评价)","[日]冈岛二人 / 张舟 / 化学工业出版社 / 2019-9 / 48.00元"
"盗墓笔记 : 七星鲁王宫","https://book.douban.com/subject/1948901/","8.3","(161409人评价)","南派三叔 / 中国友谊出版公司 / 2007-1 / 26.80元"
"祈念守护人","https://book.douban.com/subject/35017604/","7.7","(2017人评价)","[日] 东野圭吾 / 宋刚 / 南海出版公司 / 2020-6 / 59.00"
"美满","https://book.douban.com/subject/35090811/","7.7","(704人评价)","淡豹 / 上海人民出版社 / 2020-8 / 56.00元"
"送奶工","https://book.douban.com/subject/34926039/","8.4","(235人评价)","[英] 安娜·伯恩斯 / 吴洁静 / 江苏凤凰文艺出版社 / 2020-8 / 58.00元"
"福尔摩斯探案全集（上中下）","https://book.douban.com/subject/1040211/","9.3","(95066人评价)","[英] 阿·柯南道尔 / 丁钟华 等 / 群众出版社 / 1981-8 / 53.00元/68.00元"
"伪装学渣","https://book.douban.com/subject/34429608/","6.6","(6608人评价)","木瓜黄 / 北京时代华文书局 / 2019-6 / 39.80元"
"挪威的森林","https://book.douban.com/subject/1046265/","8.0","(320037人评价)","[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-2 / 18.80元"
"巨人的陨落 : 世纪三部曲","https://book.douban.com/subject/26698660/","8.9","(67893人评价)","[英] 肯·福莱特 / 于大卫 / 江苏凤凰文艺出版社 / 2016-5-1 / 129.80元"
"西游记（全二册）","https://book.douban.com/subject/1029553/","8.9","(61028人评价)","吴承恩 / 黄肃秋 注释 / 人民文学出版社 / 2004-8 / 47.20元"
"呐喊","https://book.douban.com/subject/1449351/","8.9","(93584人评价)","鲁迅 / 人民文学出版社 / 1973年3月 / 0.36元"
"天龙八部","https://book.douban.com/subject/1255625/","9.1","(105205人评价)","金庸 / 生活.读书.新知三联书店 / 1994-5 / 96.0"
"三体Ⅲ : 死神永生","https://book.douban.com/subject/5363767/","9.2","(217978人评价)","刘慈欣 / 重庆出版社 / 2010-11 / 38.00元"
"找不到工作的一年 : 续横道世之介","https://book.douban.com/subject/35067527/","7.7","(409人评价)","[日] 吉田修一 / 覃思远 / 上海人民出版社 / 2020-7 / 55.00元"
"破云","https://book.douban.com/subject/34467283/","8.2","(10384人评价)","淮上 / 江苏凤凰文艺出版社 / 2019-7 / 49.80元"
"晚熟的人","https://book.douban.com/subject/35141940/","7.9","(858人评价)","莫言 / 人民文学出版社 / 2020-8-1 / 59"
